,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,QBR_SACK,PEN,RAW,OVERALL,OFFENSE,DEFENSE,SPECIAL,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,TOTAL_SACKS,RTG,RATT,RYDS,RAVG,RLNG,RTD,AGE,DRAFTED
50,Pat White,BIG12,2005.0,87.5,42.1,267.0,44.3,15.9,32.3,-2.9,-1.6,83.8,77.0,76.2,69.4,46.7,65.0,114.0,57.0,828.0,7.3,50.0,8.0,5.0,5.0,132.4,131.0,952.0,7.3,76.0,7.0,19.0,1.0
51,Vince Young,BIG12,2005.0,86.1,71.5,532.0,75.0,44.5,36.2,-8.1,2.2,80.2,94.8,92.0,85.0,71.9,212.0,325.0,65.2,3036.0,9.3,75.0,26.0,10.0,13.0,163.9,155.0,1050.0,6.8,80.0,12.0,22.0,1.0
52,Brian Brohm,ACC,2005.0,81.2,48.9,385.0,49.8,56.1,1.7,-9.4,2.0,78.9,76.3,84.0,54.4,55.2,207.0,301.0,68.8,2883.0,9.6,76.0,19.0,5.0,17.0,166.7,,,,,,20.0,1.0
53,Rudy Carpenter,PAC-12,2005.0,80.8,39.5,307.0,42.7,51.6,2.5,-13.1,1.2,79.2,68.1,79.0,48.2,50.1,156.0,228.0,68.4,2273.0,10.0,69.0,17.0,2.0,21.0,175.0,,,,,,19.0,
54,Matt Leinart,PAC-12,2005.0,80.5,51.1,529.0,61.5,64.9,6.5,-8.8,-1.0,73.2,94.1,95.8,78.7,40.7,283.0,431.0,65.7,3815.0,8.9,67.0,28.0,8.0,17.0,157.7,,,,,,22.0,1.0
55,Brady Quinn,ACC,2005.0,80.5,60.2,564.0,75.6,83.6,3.5,-15.0,3.4,75.2,80.9,83.3,63.9,53.3,292.0,450.0,64.9,3919.0,8.7,80.0,32.0,7.0,21.0,158.4,,,,,,21.0,1.0
56,Troy Smith,BIG10,2005.0,78.8,33.7,404.0,46.8,47.0,12.9,-11.4,-1.6,70.4,86.9,73.3,83.7,74.7,149.0,237.0,62.9,2282.0,9.6,85.0,16.0,4.0,14.0,162.7,136.0,611.0,4.5,28.0,11.0,21.0,1.0
57,Bryan Cupito,BIG10,2005.0,78.7,32.2,359.0,38.1,37.7,2.4,-2.8,0.5,71.7,67.5,80.1,43.5,44.8,176.0,297.0,59.3,2530.0,8.5,57.0,19.0,9.0,4.0,145.9,,,,,,0.0,
58,D.J. Shockley,SEC,2005.0,75.8,30.6,435.0,44.7,43.8,8.7,-9.0,1.2,67.5,78.2,70.9,69.8,71.8,173.0,310.0,55.8,2588.0,8.3,56.0,24.0,5.0,17.0,148.3,78.0,322.0,4.1,40.0,4.0,22.0,1.0
59,Charlie Whitehurst,ACC,2005.0,74.7,23.2,448.0,40.8,46.8,6.6,-14.9,2.3,63.2,68.9,72.5,60.1,43.1,229.0,340.0,67.4,2483.0,7.3,51.0,11.0,10.0,20.0,133.5,,,,,,23.0,1.0
60,Kellen Clemens,PAC-12,2005.0,74.1,36.7,396.0,49.5,50.7,-0.4,-5.3,4.2,72.4,77.8,70.2,75.0,55.1,185.0,289.0,64.0,2406.0,8.3,61.0,19.0,4.0,8.0,152.9,,,,,,22.0,1.0
61,Drew Stanton,BIG10,2005.0,74.0,27.5,519.0,41.8,53.3,4.6,-15.1,-1.4,63.4,66.2,75.8,52.7,34.7,236.0,354.0,66.7,3077.0,8.7,75.0,22.0,12.0,24.0,153.4,121.0,338.0,2.8,17.0,4.0,21.0,1.0
62,Drew Olson,PAC-12,2005.0,74.0,37.7,475.0,47.0,57.4,1.4,-13.1,1.2,69.5,69.4,78.6,46.0,70.3,242.0,378.0,64.0,3198.0,8.5,91.0,34.0,6.0,25.0,161.6,,,,,,22.0,
63,Brad Smith,SEC,2005.0,73.3,47.8,670.0,66.9,26.9,45.6,-10.3,4.4,67.7,54.9,60.4,51.3,36.8,237.0,399.0,59.4,2304.0,5.8,50.0,13.0,9.0,12.0,114.1,229.0,1301.0,5.7,79.0,16.0,22.0,1.0
64,Phil Horvath,MAC,2005.0,72.2,31.0,296.0,33.1,43.4,1.9,-10.1,-1.9,74.8,55.2,68.8,41.8,45.1,168.0,238.0,70.6,2001.0,8.4,60.0,18.0,8.0,15.0,159.5,,,,,,22.0,
65,Drew Tate,BIG10,2005.0,72.2,25.7,426.0,35.7,44.5,-0.8,-9.4,1.3,65.2,74.0,72.0,61.5,70.5,219.0,352.0,62.2,2828.0,8.0,78.0,22.0,7.0,16.0,146.3,,,,,,0.0,
66,Brett Basanez,BIG10,2005.0,71.6,42.5,666.0,64.6,63.9,6.7,-5.5,-0.4,66.0,61.2,74.4,48.7,25.8,314.0,497.0,63.2,3622.0,7.3,67.0,21.0,8.0,10.0,135.1,113.0,423.0,3.7,21.0,7.0,22.0,
67,Omar Jacobs,MAC,2005.0,71.0,42.6,384.0,49.1,49.1,6.1,-7.0,0.7,76.0,45.8,63.9,35.7,29.7,195.0,321.0,60.7,2590.0,8.1,63.0,25.0,7.0,11.0,149.9,,,,,,21.0,
68,Matt Ryan,ACC,2005.0,70.8,14.2,251.0,21.1,23.9,0.9,-4.3,0.6,64.3,69.8,62.1,75.7,31.1,121.0,195.0,62.1,1514.0,7.8,61.0,8.0,5.0,6.0,135.7,,,,,,20.0,1.0
69,Jay Cutler,SEC,2005.0,69.2,29.9,612.0,51.4,55.4,6.0,-17.5,7.6,62.4,49.3,68.6,39.1,21.8,273.0,462.0,59.1,3073.0,6.7,47.0,21.0,9.0,24.0,126.1,,,,,,22.0,1.0
70,Marcus Vick,ACC,2005.0,69.1,16.0,481.0,31.9,40.1,11.3,-20.0,0.4,58.5,83.2,75.0,77.2,67.0,177.0,289.0,61.2,2393.0,8.3,54.0,17.0,10.0,33.0,143.3,147.0,380.0,2.6,38.0,6.0,21.0,
71,Paul Pinegar,MTN-WEST,2005.0,68.8,39.0,517.0,50.1,59.9,-0.6,-9.6,0.1,68.7,68.4,67.3,52.2,77.6,265.0,416.0,63.7,3335.0,8.0,98.0,29.0,15.0,14.0,146.8,,,,,,0.0,
72,John Stocco,BIG10,2005.0,68.2,21.6,449.0,36.1,51.6,6.1,-22.9,1.3,62.2,72.0,70.8,57.1,75.7,197.0,328.0,60.1,2920.0,8.9,65.0,21.0,9.0,37.0,150.5,,,,,,0.0,
73,Marques Hagans,ACC,2005.0,67.4,15.9,500.0,35.2,34.0,20.3,-20.9,1.7,58.2,59.4,67.1,44.3,61.2,213.0,343.0,62.1,2492.0,7.3,59.0,14.0,12.0,34.0,129.6,115.0,310.0,2.7,38.0,3.0,23.0,1.0
74,Reggie McNeal,SEC,2005.0,66.9,21.7,408.0,32.5,14.6,23.1,-5.7,0.6,63.5,54.2,70.2,36.7,50.0,141.0,265.0,53.2,1963.0,7.4,80.0,16.0,9.0,11.0,128.6,96.0,664.0,6.9,63.0,3.0,22.0,
75,Colt Brennan,MTN-WEST,2005.0,66.4,59.5,662.0,73.4,79.1,5.2,-17.1,5.9,71.8,36.0,68.3,19.7,23.7,350.0,515.0,68.0,4301.0,8.4,87.0,35.0,13.0,35.0,155.5,,,,,,22.0,1.0
76,Brandon Cox,SEC,2005.0,65.7,2.7,385.0,17.7,34.9,-3.0,-14.4,0.2,51.8,77.7,78.7,66.4,49.4,177.0,306.0,57.8,2324.0,7.6,62.0,15.0,8.0,21.0,132.6,,,,,,0.0,
77,Brian Johnson,PAC-12,2005.0,64.4,26.9,519.0,46.5,53.9,11.0,-17.8,-0.3,63.1,57.9,64.0,49.4,46.3,210.0,330.0,63.6,2892.0,8.8,60.0,18.0,7.0,26.0,151.0,152.0,478.0,3.1,26.0,8.0,0.0,
78,John Beck,INDEP,2005.0,63.6,26.0,656.0,45.2,56.1,3.8,-13.6,-0.8,60.1,57.0,72.4,35.3,52.1,331.0,513.0,64.5,3709.0,7.2,67.0,27.0,13.0,25.0,137.6,,,,,,24.0,1.0
79,Cody Hodges,BIG12,2005.0,63.5,17.4,701.0,40.0,54.3,4.4,-22.8,4.1,56.4,73.4,77.8,58.9,47.5,353.0,531.0,66.5,4238.0,8.0,67.0,31.0,12.0,34.0,148.3,,,,,,23.0,
80,JaMarcus Russell,SEC,2005.0,63.4,7.1,421.0,24.5,39.8,0.3,-18.0,2.3,54.4,76.9,62.2,76.1,70.4,188.0,311.0,60.5,2443.0,7.9,50.0,15.0,9.0,21.0,136.6,,,,,,20.0,1.0
81,Chad Henne,BIG10,2005.0,63.3,8.2,466.0,28.0,34.8,1.4,-13.7,5.4,54.6,71.9,56.5,72.7,70.3,223.0,382.0,58.4,2551.0,6.7,58.0,23.0,8.0,21.0,130.2,,,,,,20.0,1.0
82,Chris Leak,SEC,2005.0,63.0,6.6,527.0,25.1,44.5,1.0,-19.2,-1.2,53.2,76.9,64.7,71.2,78.9,235.0,374.0,62.8,2639.0,7.1,80.0,20.0,6.0,32.0,136.5,,,,,,20.0,
83,Brandon Kirsch,BIG10,2005.0,61.9,8.8,328.0,20.1,16.9,4.9,-1.6,0.0,56.9,58.1,52.0,57.7,60.0,152.0,257.0,59.1,1727.0,6.7,49.0,7.0,8.0,3.0,118.4,,,,,,0.0,
84,Bruce Gradkowski,MAC,2005.0,61.9,37.4,431.0,47.4,38.8,15.3,-6.7,-0.1,71.1,57.7,60.1,51.5,52.3,207.0,332.0,62.3,2469.0,7.4,70.0,29.0,12.0,9.0,146.4,61.0,291.0,4.8,31.0,4.0,22.0,1.0
85,Alex Brink,PAC-12,2005.0,61.3,11.1,453.0,28.7,36.1,2.0,-11.8,2.4,56.3,59.6,68.5,48.7,45.2,205.0,358.0,57.3,2891.0,8.1,80.0,24.0,13.0,18.0,140.0,,,,,,20.0,1.0
86,Darrell Hackney,C-USA,2005.0,60.8,27.1,476.0,44.6,50.5,3.3,-9.3,0.2,64.4,47.7,63.9,36.4,38.4,242.0,386.0,62.7,3180.0,8.2,89.0,22.0,12.0,15.0,144.5,,,,,,22.0,
87,Ryan Hart,BIG10,2005.0,60.6,17.6,306.0,26.7,36.7,-0.9,-8.8,-0.3,64.5,54.5,51.5,52.4,59.8,155.0,255.0,60.8,2135.0,8.4,55.0,18.0,8.0,13.0,148.1,,,,,,0.0,
88,Paul Smith,American,2005.0,60.2,26.7,523.0,48.1,53.7,11.5,-16.2,-0.8,63.0,60.6,57.6,57.8,55.9,227.0,364.0,62.4,2835.0,7.8,66.0,20.0,6.0,26.0,142.6,,,,,,21.0,
89,Trent Edwards,PAC-12,2005.0,60.2,5.1,393.0,20.5,35.1,5.3,-20.0,0.0,53.4,55.2,47.2,53.1,70.5,168.0,268.0,62.7,1934.0,7.2,49.0,17.0,7.0,29.0,139.0,,,,,,22.0,1.0
90,Michael Robinson,BIG10,2005.0,59.4,0.2,502.0,20.4,19.9,6.4,-9.3,3.5,50.1,83.7,74.0,83.4,47.0,162.0,311.0,52.1,2350.0,7.6,59.0,17.0,10.0,12.0,127.2,163.0,806.0,4.9,39.0,11.0,22.0,1.0
91,Kyle Wright,ACC,2005.0,59.1,-4.3,410.0,13.0,38.6,-3.7,-21.7,0.4,47.3,79.6,62.4,79.5,71.5,180.0,307.0,58.6,2403.0,7.8,92.0,18.0,10.0,34.0,137.2,,,,,,21.0,
