,NAME,YEAR,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,SACK,RTG
0,Sonny Cumbie,2004,421,642,65.6,"4,742",7.4,80,32,18,26,138.5
1,Timmy Chang,2004,358,602,59.5,"4,258",7.1,75,37,13,15,134.8
2,Omar Jacobs,2004,309,462,66.9,"4,002",8.7,58,41,4,10,167.2
3,Derek Anderson,2004,279,515,54.2,"3,615",7.0,55,29,17,37,125.1
4,Bruce Gradkowski,2004,280,399,70.2,"3,518",8.8,96,27,8,14,162.6
5,Josh Betts,2004,268,444,60.4,"3,512",7.9,79,23,14,24,137.6
6,Dan Orlovsky,2004,288,457,63.0,"3,354",7.3,90,23,15,14,134.7
7,Matt Leinart,2004,269,412,65.3,"3,322",8.1,69,33,6,23,156.5
8,Jason White,2004,255,390,65.4,"3,205",8.2,72,35,9,9,159.4
9,Chris Leak,2004,238,399,59.6,"3,199",8.0,81,29,12,19,145.0
10,Ryan Hart,2004,295,453,65.1,"3,154",7.0,59,17,19,21,127.6
11,Andrew Walter,2004,244,426,57.3,"3,150",7.4,79,30,9,33,138.4
12,Kyle Orton,2004,236,389,60.7,"3,090",7.9,97,31,5,22,151.1
13,Darrell Hackney,2004,197,358,55.0,"3,070",8.6,71,26,8,33,146.6
14,Tyler Palko,2004,230,409,56.2,"3,067",7.5,80,24,7,38,135.2
15,Alex Smith,2004,214,317,67.5,"2,952",9.3,78,32,4,18,176.5
16,Jared Zabransky,2004,206,327,63.0,"2,927",9.0,53,16,12,28,147.0
17,Danny Wimprine,2004,225,398,56.5,"2,892",7.3,68,22,14,5,128.8
18,Brett Basanez,2004,247,460,53.7,"2,838",6.2,69,12,9,11,110.2
19,Jordan Palmer,2004,213,366,58.2,"2,822",7.7,91,26,18,20,136.6
20,Matt Bohnet,2004,228,434,52.5,"2,807",6.5,64,21,12,9,117.3
21,Reggie McNeal,2004,200,344,58.1,"2,791",8.1,84,14,4,23,137.4
22,Drew Tate,2004,233,375,62.1,"2,786",7.4,60,20,14,36,134.7
23,Kevin Kolb,2004,198,353,56.1,"2,766",7.8,69,11,6,42,128.8
24,Clint Marks,2004,259,368,70.4,"2,749",7.5,80,14,14,19,138.1
25,Chad Henne,2004,240,399,60.2,"2,743",6.9,69,25,12,29,132.6
26,Jason Campbell,2004,188,270,69.6,"2,700",10.0,87,20,7,13,172.9
27,Brock Berlin,2004,195,348,56.0,"2,680",7.7,63,22,6,17,138.1
28,Gino Guidugli,2004,210,342,61.4,"2,633",7.7,80,26,8,7,146.5
29,Jeff Rowe,2004,230,395,58.2,"2,633",6.7,51,15,12,26,120.7
30,Charlie Frye,2004,220,346,63.6,"2,623",7.6,74,18,8,37,139.8
31,Stefan LeFors,2004,189,257,73.5,"2,596",10.1,61,20,3,9,181.7
32,Paul Peterson,2004,221,355,62.3,"2,594",7.3,60,18,10,19,134.7
33,Brady Quinn,2004,191,353,54.1,"2,586",7.3,54,17,10,25,125.9
34,Aaron Rodgers,2004,209,316,66.1,"2,566",8.1,80,24,8,25,154.3
35,Drew Olson,2004,196,341,57.5,"2,565",7.5,83,20,13,19,132.4
36,John Beck,2004,192,344,55.8,"2,563",7.5,82,15,8,32,128.1
37,Kellen Clemens,2004,223,372,59.9,"2,548",6.8,59,22,10,40,131.6
38,David Greene,2004,175,299,58.5,"2,508",8.4,79,20,4,14,148.4
39,Corey Bramlet,2004,195,334,58.4,"2,409",7.2,63,12,13,30,123.0
40,Joel Klatt,2004,216,367,58.9,"2,398",6.5,78,11,15,21,115.5
41,Stan Hill,2004,233,397,58.7,"2,387",6.0,75,18,14,31,117.1
42,Jerry Babb,2004,223,385,57.9,"2,365",6.1,59,12,13,21,113.1
43,Steven Jyles,2004,204,366,55.7,"2,322",6.3,77,12,12,10,113.3
44,Kent Smith,2004,188,333,56.5,"2,284",6.9,89,16,8,20,125.1
45,Bryan Randall,2004,170,306,55.6,"2,264",7.4,80,21,9,35,134.5
46,Buck Pierce,2004,191,285,67.0,"2,253",7.9,51,16,5,25,148.4
47,James Kilian,2004,184,337,54.6,"2,242",6.7,65,13,16,35,113.7
48,Darian Durant,2004,178,299,59.5,"2,238",7.5,52,17,9,20,135.1
49,Michael Harrington,2004,225,343,65.6,"2,222",6.5,44,12,11,35,125.1
50,Joshua Cribbs,2004,216,335,64.5,"2,215",6.6,66,17,6,24,133.2
51,Walter Washington,2004,187,332,56.3,"2,207",6.6,54,10,6,29,118.5
52,James Pinkney,2004,190,339,56.0,"2,195",6.5,75,18,15,29,119.1
53,Brad Smith,2004,191,369,51.8,"2,185",5.9,60,17,11,19,110.7
54,Reggie Ball,2004,164,330,49.7,"2,147",6.5,80,16,18,26,109.4
55,Nick Noce,2004,164,315,52.1,"2,115",6.7,65,13,16,19,111.9
56,Jay Davis,2004,175,313,55.9,"2,104",6.7,58,12,15,26,115.4
57,Paul Pinegar,2004,173,292,59.2,"2,099",7.2,61,23,15,17,135.3
58,Bryan Cupito,2004,123,261,47.1,"2,097",8.0,82,14,7,9,126.9
59,Charlie Whitehurst,2004,177,349,50.7,"2,067",5.9,56,7,17,25,97.3
60,Joe Dailey,2004,153,310,49.4,"2,025",6.5,74,17,19,16,110.1
61,Marques Hagans,2004,164,261,62.8,"2,024",7.8,54,9,5,15,135.5
62,John Stocco,2004,169,321,52.6,"1,999",6.2,52,9,7,21,109.8
63,Matt LoVecchio,2004,153,271,56.5,"1,951",7.2,80,13,7,22,127.6
64,Bret Meyer,2004,149,290,51.4,"1,926",6.6,77,10,6,28,114.4
65,Travis Cox,2004,179,306,58.5,"1,908",6.2,79,10,16,33,111.2
