,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,HT/WT,DOB,DRAFT_STATUS
0,Stefan LeFors,LOU,2004,86.3,68.3,351,66.8,66.5,2.8,-3.7,1.6,88.3,na,6/7/1981,"2005: Rd 4, Pk 20 (CAR)"
1,Alex Smith,UTAH,2004,84.5,75.8,480,73.4,63.5,16.0,-7.3,1.2,83.8,"6' 4"", 215 lbs",5/7/1984 (36),"2005: Rd 1, Pk 1 (SF)"
2,Jason White,OKLA,2004,84.1,56.6,454,61.2,70.9,-6.2,-6.1,2.7,78.5,na,na,na
3,Jason Campbell,AUB,2004,83.3,41.5,373,48.4,56.9,-3.9,-6.7,2.0,76.1,na,12/31/1981,"2005: Rd 1, Pk 25 (WSH)"
4,Matt Jones,ARK,2004,81.7,35.9,383,43.6,24.4,27.5,-7.7,-0.7,72.6,na,4/22/1983,"2005: Rd 1, Pk 21 (JAX)"
5,Marques Hagans,UVA,2004,79.5,32.7,370,40.6,33.6,17.5,-11.4,0.9,71.4,na,12/29/1982,"2006: Rd 5, Pk 144 (STL)"
6,Matt Leinart,USC,2004,77.7,37.5,508,48.6,59.3,1.9,-14.6,1.9,68.3,na,5/11/1983,"2006: Rd 1, Pk 10 (ARI)"
7,Drew Stanton,MSU,2004,77.4,41.3,346,47.4,21.7,25.8,-2.0,1.9,77.6,na,5/7/1984,"2007: Rd 2, Pk 43 (DET)"
8,Aaron Rodgers,CAL,2004,75.1,29.5,422,42.0,49.5,6.4,-14.2,0.4,67.4,"6' 2"", 225 lbs",12/2/1983 (36),"2005: Rd 1, Pk 24 (GB)"
9,Omar Jacobs,BGSU,2004,74.4,92.7,599,94.8,97.1,5.9,-5.8,-2.4,83.3,na,3/3/1984,na
10,Vince Young,TEX,2004,74.3,31.6,458,45.3,13.3,39.6,-7.9,0.4,67.2,na,5/18/1983,"2006: Rd 1, Pk 3 (TEN)"
11,Bruce Gradkowski,TOL,2004,68.7,70.0,528,73.6,78.1,2.8,-11.2,3.8,79.9,na,1/27/1983,"2006: Rd 6, Pk 194 (TB)"
12,David Greene,UGA,2004,68.6,18.8,367,31.9,42.7,-1.5,-9.7,0.5,63.0,na,6/22/1982,"2005: Rd 3, Pk 85 (SEA)"
13,Reggie McNeal,TA&M,2004,67.9,18.7,544,36.5,41.4,7.6,-13.8,1.3,58.8,na,9/20/1983,na
14,Kyle Orton,PUR,2004,67.6,30.7,515,47.1,58.6,0.3,-15.2,3.4,65.0,na,11/14/1982,"2005: Rd 4, Pk 106 (CHI)"
15,Jay Cutler,VAN,2004,67.2,19.7,385,32.6,34.1,10.0,-14.9,3.3,63.0,na,4/29/1983,"2006: Rd 1, Pk 11 (DEN)"
16,Jared Zabransky,BSU,2004,66.8,28.7,502,45.3,54.9,7.8,-18.2,1.1,64.4,na,12/4/1983,na
17,Darian Durant,UNC,2004,65.5,8.5,415,25.8,36.4,0.9,-12.0,0.5,55.3,na,na,na
18,Chris Leak,FLA,2004,65.5,17.8,515,35.7,46.2,2.6,-12.3,-0.7,58.9,na,5/3/1985,na
19,Andrew Walter,ASU,2004,64.9,13.3,528,30.5,50.6,-3.1,-18.6,1.4,56.5,na,5/11/1982,"2005: Rd 3, Pk 69 (OAK)"
20,Rasheed Marshall,WVU,2004,64.0,25.1,444,39.8,34.5,17.3,-11.6,-0.3,64.3,na,7/11/1981,"2005: Rd 5, Pk 38 (SF)"
21,Drew Olson,UCLA,2004,63.6,6.8,433,24.3,28.5,6.1,-11.3,0.9,54.1,na,4/6/1983,na
22,Danny Wimprine,MEM,2004,62.8,34.9,501,51.3,53.6,-0.8,-3.6,2.2,67.4,na,na,na
23,Bryan Randall,VT,2004,61.2,1.6,496,21.9,23.9,22.5,-24.9,0.3,50.8,na,8/16/1983,na
24,Brock Berlin,MIAMI,2004,60.3,-3.9,429,14.6,34.2,-8.4,-10.0,-1.2,47.6,na,7/4/1981,na
25,Donovan Woods,OKST,2004,59.5,-1.9,350,11.5,15.0,5.4,-8.0,-0.7,48.6,na,7/27/1985,na
26,Dylan Meier,KSU,2004,58.8,-3.1,343,11.9,21.8,-5.8,-3.8,-0.2,47.7,na,na,na
27,Brady Quinn,ND,2004,58.7,-1.0,442,16.9,27.2,6.2,-17.4,1.1,49.4,na,10/27/1984,"2007: Rd 1, Pk 22 (CLE)"
28,Derek Anderson,ORST,2004,58.5,-9.5,637,17.4,41.3,-3.0,-22.7,1.8,46.1,na,6/15/1983,"2005: Rd 6, Pk 213 (BAL)"
29,Timmy Chang,HAW,2004,57.8,42.1,689,60.0,63.3,5.7,-9.0,0.1,65.4,na,10/9/1981,na
30,Brandon Hassell,TCU,2004,57.8,17.5,313,23.6,24.8,2.9,-5.7,1.6,64.1,na,na,na
31,Marcus Randall,LSU,2004,57.6,-2.2,264,9.5,14.4,9.0,-12.9,-1.1,47.9,na,3/14/1982,na
32,Sonny Cumbie,TTU,2004,57.4,10.6,751,39.7,62.7,-6.4,-18.2,1.4,53.7,na,na,na
33,Kellen Clemens,ORE,2004,56.7,-3.9,533,18.4,31.6,11.3,-23.7,-0.7,48.1,na,6/6/1983,"2006: Rd 2, Pk 49 (NYJ)"
34,Drew Tate,IOWA,2004,56.7,-0.3,518,20.5,44.6,-0.8,-23.6,0.3,49.9,na,na,na
35,Paul Peterson,BC,2004,56.6,20.9,462,39.3,49.9,-1.1,-11.4,2.2,61.6,na,na,na
36,Dan Orlovsky,CONN,2004,56.6,28.2,525,40.3,46.3,0.8,-8.0,1.3,63.6,na,8/18/1983,"2005: Rd 5, Pk 145 (DET)"
37,Jon Beutjer,ILL,2004,56.2,-2.1,223,7.2,7.8,0.5,-3.9,3.0,47.6,na,na,na
38,Syvelle Newton,SC,2004,55.4,0.6,241,10.3,14.8,5.5,-9.2,-0.9,50.6,na,na,na
39,Jordan Palmer,UTEP,2004,54.7,14.9,447,30.5,39.1,-2.0,-12.1,5.6,58.5,na,5/30/1984,"2007: Rd 6, Pk 205 (WSH)"
40,Paul Pinegar,FRES,2004,54.6,6.8,377,19.7,19.8,8.5,-9.4,0.7,54.7,na,na,na
41,Justin Holland,CSU,2004,54.4,1.2,231,9.4,13.7,0.1,-5.9,1.6,51.4,na,na,na
42,Joel Klatt,COLO,2004,54.2,-14.7,454,6.3,21.9,-0.3,-13.6,-1.7,41.6,na,na,na
43,Buck Pierce,NMSU,2004,53.9,23.7,420,36.1,48.1,2.0,-14.8,0.3,64.3,na,na,na
44,Joshua Cribbs,KENT,2004,53.0,33.6,538,48.5,33.7,34.4,-20.7,1.1,65.7,na,6/9/1983,na
45,Lester Ricard,TULN,2004,51.6,13.5,292,22.8,32.6,-0.1,-9.3,0.0,61.8,na,12/11/1983,na
46,Bryan Cupito,MINN,2004,50.0,-1.7,332,11.2,12.8,2.6,-3.7,-0.6,48.6,na,na,na
47,Brett Basanez,NW,2004,49.0,-7.7,600,18.7,20.4,2.0,-5.3,1.6,46.7,na,5/11/1983,na
48,Justin Zwick,OSU,2004,48.8,-8.0,249,3.6,8.6,0.5,-9.4,3.8,41.7,na,na,na
49,John Stocco,WISC,2004,48.6,-8.6,416,9.4,22.2,-3.8,-13.5,4.3,44.7,na,na,na
50,Pat White,WVU,2005,87.5,42.1,267,44.3,15.9,32.3,-2.9,-1.6,83.8,na,2/25/1986,"2009: Rd 2, Pk 44 (MIA)"
51,Vince Young,TEX,2005,86.1,71.5,532,75.0,44.5,36.2,-8.1,2.2,80.2,na,5/18/1983,"2006: Rd 1, Pk 3 (TEN)"
52,Brian Brohm,LOU,2005,81.2,48.9,385,49.8,56.1,1.7,-9.4,2.0,78.9,na,9/23/1985,"2008: Rd 2, Pk 56 (GB)"
53,Rudy Carpenter,ASU,2005,80.8,39.5,307,42.7,51.6,2.5,-13.1,1.2,79.2,na,4/15/1986,na
54,Matt Leinart,USC,2005,80.5,51.1,529,61.5,64.9,6.5,-8.8,-1.0,73.2,na,5/11/1983,"2006: Rd 1, Pk 10 (ARI)"
55,Brady Quinn,ND,2005,80.5,60.2,564,75.6,83.6,3.5,-15.0,3.4,75.2,na,10/27/1984,"2007: Rd 1, Pk 22 (CLE)"
56,Troy Smith,OSU,2005,78.8,33.7,404,46.8,47.0,12.9,-11.4,-1.6,70.4,na,7/20/1984,"2007: Rd 5, Pk 174 (BAL)"
57,Bryan Cupito,MINN,2005,78.7,32.2,359,38.1,37.7,2.4,-2.8,0.5,71.7,na,na,na
58,D.J. Shockley,UGA,2005,75.8,30.6,435,44.7,43.8,8.7,-9.0,1.2,67.5,na,3/23/1983,"2006: Rd 7, Pk 223 (ATL)"
59,Charlie Whitehurst,CLEM,2005,74.7,23.2,448,40.8,46.8,6.6,-14.9,2.3,63.2,na,8/6/1982,"2006: Rd 3, Pk 81 (SD)"
60,Kellen Clemens,ORE,2005,74.1,36.7,396,49.5,50.7,-0.4,-5.3,4.2,72.4,na,6/6/1983,"2006: Rd 2, Pk 49 (NYJ)"
61,Drew Stanton,MSU,2005,74.0,27.5,519,41.8,53.3,4.6,-15.1,-1.4,63.4,na,5/7/1984,"2007: Rd 2, Pk 43 (DET)"
62,Drew Olson,UCLA,2005,74.0,37.7,475,47.0,57.4,1.4,-13.1,1.2,69.5,na,4/6/1983,na
63,Brad Smith,MIZ,2005,73.3,47.8,670,66.9,26.9,45.6,-10.3,4.4,67.7,na,12/12/1983,"2006: Rd 4, Pk 103 (NYJ)"
64,Phil Horvath,NIU,2005,72.2,31.0,296,33.1,43.4,1.9,-10.1,-1.9,74.8,na,10/4/1983,na
65,Drew Tate,IOWA,2005,72.2,25.7,426,35.7,44.5,-0.8,-9.4,1.3,65.2,na,na,na
66,Brett Basanez,NW,2005,71.6,42.5,666,64.6,63.9,6.7,-5.5,-0.4,66.0,na,5/11/1983,na
67,Omar Jacobs,BGSU,2005,71.0,42.6,384,49.1,49.1,6.1,-7.0,0.7,76.0,na,3/3/1984,na
68,Matt Ryan,BC,2005,70.8,14.2,251,21.1,23.9,0.9,-4.3,0.6,64.3,"6' 4"", 217 lbs",5/17/1985 (35),"2008: Rd 1, Pk 3 (ATL)"
69,Jay Cutler,VAN,2005,69.2,29.9,612,51.4,55.4,6.0,-17.5,7.6,62.4,na,4/29/1983,"2006: Rd 1, Pk 11 (DEN)"
70,Marcus Vick,VT,2005,69.1,16.0,481,31.9,40.1,11.3,-20.0,0.4,58.5,na,3/20/1984,na
71,Paul Pinegar,FRES,2005,68.8,39.0,517,50.1,59.9,-0.6,-9.6,0.1,68.7,na,na,na
72,John Stocco,WISC,2005,68.2,21.6,449,36.1,51.6,6.1,-22.9,1.3,62.2,na,na,na
73,Marques Hagans,UVA,2005,67.4,15.9,500,35.2,34.0,20.3,-20.9,1.7,58.2,na,12/29/1982,"2006: Rd 5, Pk 144 (STL)"
74,Reggie McNeal,TA&M,2005,66.9,21.7,408,32.5,14.6,23.1,-5.7,0.6,63.5,na,9/20/1983,na
75,Colt Brennan,HAW,2005,66.4,59.5,662,73.4,79.1,5.2,-17.1,5.9,71.8,na,8/16/1983,"2008: Rd 6, Pk 186 (WSH)"
76,Brandon Cox,AUB,2005,65.7,2.7,385,17.7,34.9,-3.0,-14.4,0.2,51.8,na,na,na
77,Brian Johnson,UTAH,2005,64.4,26.9,519,46.5,53.9,11.0,-17.8,-0.3,63.1,na,na,na
78,John Beck,BYU,2005,63.6,26.0,656,45.2,56.1,3.8,-13.6,-0.8,60.1,na,8/21/1981,"2007: Rd 2, Pk 40 (MIA)"
79,Cody Hodges,TTU,2005,63.5,17.4,701,40.0,54.3,4.4,-22.8,4.1,56.4,na,11/20/1982,na
80,JaMarcus Russell,LSU,2005,63.4,7.1,421,24.5,39.8,0.3,-18.0,2.3,54.4,na,8/9/1985,"2007: Rd 1, Pk 1 (OAK)"
