,COLLEGE,OVERALL,OFFENSE,DEFENSE,SPECIAL,YEAR
0,TEX,94.8,92.0,85.0,71.9,2005
1,USC,94.1,95.8,78.7,40.7,2005
2,OSU,86.9,73.3,83.7,74.7,2005
3,PSU,83.7,74.0,83.4,47.0,2005
4,VT,83.2,75.0,77.2,67.0,2005
5,ND,80.9,83.3,63.9,53.3,2005
6,MIAMI,79.6,62.4,79.5,71.5,2005
7,UGA,78.2,70.9,69.8,71.8,2005
8,ORE,77.8,70.2,75.0,55.1,2005
9,AUB,77.7,78.7,66.4,49.4,2005
10,WVU,77.0,76.2,69.4,46.7,2005
11,LSU,76.9,62.2,76.1,70.4,2005
12,FLA,76.9,64.7,71.2,78.9,2005
13,LOU,76.3,84.0,54.4,55.2,2005
14,IOWA,74.0,72.0,61.5,70.5,2005
15,TTU,73.4,77.8,58.9,47.5,2005
16,WISC,72.0,70.8,57.1,75.7,2005
17,MICH,71.9,56.5,72.7,70.3,2005
18,ALA,71.0,54.4,81.1,45.7,2005
19,BC,69.8,62.1,75.7,31.1,2005
20,UCLA,69.4,78.6,46.0,70.3,2005
21,TCU,69.0,51.7,75.0,61.3,2005
22,CLEM,68.9,72.5,60.1,43.1,2005
23,FRES,68.4,67.3,52.2,77.6,2005
24,ASU,68.1,79.0,48.2,50.1,2005
25,MINN,67.5,80.1,43.5,44.8,2005
26,CAL,66.9,62.9,64.4,52.0,2005
27,OKLA,66.8,51.9,76.4,42.8,2005
28,MSU,66.2,75.8,52.7,34.7,2005
29,FSU,65.9,45.3,72.0,71.3,2005
30,ISU,63.1,48.0,71.4,53.1,2005
31,NW,61.2,74.4,48.7,25.8,2005
32,GT,60.9,50.8,77.9,21.4,2005
33,USF,60.9,42.0,73.5,60.2,2005
34,TLSA,60.6,57.6,57.8,55.9,2005
35,SC,60.4,53.7,64.9,41.3,2005
36,WSU,59.6,68.5,48.7,45.2,2005
37,UVA,59.4,67.1,44.3,61.2,2005
38,PUR,58.1,52.0,57.7,60.0,2005
39,UTAH,57.9,64.0,49.4,46.3,2005
40,ARK,57.8,47.2,61.7,61.0,2005
41,TOL,57.7,60.1,51.5,52.3,2005
42,NCST,57.7,36.1,70.4,60.0,2005
43,BYU,57.0,72.4,35.3,52.1,2005
44,NEB,56.2,38.7,63.4,71.3,2005
45,TENN,56.2,35.1,77.7,36.4,2005
46,COLO,55.7,41.3,60.5,68.7,2005
47,MD,55.6,54.6,52.8,54.7,2005
48,STAN,55.2,47.2,53.1,70.5,2005
49,NIU,55.2,68.8,41.8,45.1,2005
50,MIZ,54.9,60.4,51.3,36.8,2005
51,BSU,54.7,49.4,48.4,77.2,2005
52,RUTG,54.5,51.5,52.4,59.8,2005
53,TA&M,54.2,70.2,36.7,50.0,2005
54,USM,53.6,49.8,46.0,77.3,2005
55,KU,53.5,29.3,73.7,54.8,2005
56,LT,51.9,48.4,54.2,51.6,2005
57,PITT,51.8,38.7,60.9,58.3,2005
58,UNM,51.7,50.9,52.0,49.8,2005
59,ARIZ,51.6,42.7,62.1,43.6,2005
60,KSU,50.9,42.9,60.8,43.9,2005
61,BAY,50.1,33.7,61.2,63.8,2005
62,M-OH,49.6,52.4,45.5,53.5,2005
63,ORST,49.4,36.6,62.6,52.6,2005
64,MEM,49.4,54.6,39.1,65.9,2005
65,VAN,49.3,68.6,39.1,21.8,2005
66,UNC,48.8,40.6,60.6,41.0,2005
67,UAB,47.7,63.9,36.4,38.4,2005
68,WAKE,47.4,40.9,48.2,67.4,2005
69,NAVY,46.6,68.8,27.7,48.1,2005
70,WASH,46.6,47.3,50.7,37.9,2005
71,BGSU,45.8,63.9,35.7,29.7,2005
72,CONN,45.5,32.0,69.7,29.7,2005
73,HOU,45.4,53.1,46.1,31.0,2005
